IIIIIIIIII	(-9.264317855095147+0j)
IIIIIIIIIZ	(2.337043262485801+0j)
IIIIZIIIII	(2.337043262485801+0j)
IIIIIIIIXY	-0.0005091367362238902j
IIIIIIIIYY	(0.04562873972856396+0j)
IIIIIIIIXX	(0.04562873972856396+0j)
IIIIIIIIYX	0.0005091367362238902j
IIIXYIIIII	-0.0005091367362238913j
IIIYYIIIII	(0.04562873972856396+0j)
IIIXXIIIII	(0.04562873972856396+0j)
IIIYXIIIII	0.0005091367362238913j
IIIIIIIIZI	(-0.013379782163860389+0j)
IIIZIIIIII	(-0.013379782163860399+0j)
IIIIIIIZII	(-0.11468560054652212+0j)
IIZIIIIIII	(-0.11468560054652223+0j)
IIIIIIZIII	(-0.11468560054652209+0j)
IZIIIIIIII	(-0.11468560054652219+0j)
IIIIIZIIII	(-0.11468560054652209+0j)
ZIIIIIIIII	(-0.11468560054652219+0j)
IIIIZIIIIZ	(0.5670282733420824+0j)
IIIXYIIIIZ	0.02422759280001746j
IIIYYIIIIZ	(0.06613744389275894+0j)
IIIXXIIIIZ	(0.06613744389275894+0j)
IIIYXIIIIZ	-0.02422759280001746j
IIIIZIIIXY	0.02422759280001746j
IIIIZIIIYY	(0.06613744389275894+0j)
IIIIZIIIXX	(0.06613744389275894+0j)
IIIIZIIIYX	-0.02422759280001746j
IIIYYIIIXY	0.004504295162805618j
IIIXXIIIXY	0.004504295162805618j
IIIXYIIIYY	0.004504295162805618j
IIIYYIIIYY	(0.012267166930464375+0j)
IIIXXIIIYY	(0.012267166930464375+0j)
IIIYXIIIYY	-0.004504295162805618j
IIIXYIIIXX	0.004504295162805618j
IIIYYIIIXX	(0.012267166930464375+0j)
IIIXXIIIXX	(0.012267166930464375+0j)
IIIYXIIIXX	-0.004504295162805618j
IIIYYIIIYX	-0.004504295162805618j
IIIXXIIIYX	-0.004504295162805618j
IIYZYIIXZY	0.0014537430087563762j
IIXZXIIXZY	0.0014537430087563762j
IIXZYIIYZY	0.0014537430087563762j
IIYZYIIYZY	(0.0037630714490763735+0j)
IIXZXIIYZY	(0.0037630714490763735+0j)
IIYZXIIYZY	-0.0014537430087563762j
IIXZYIIXZX	0.0014537430087563762j
IIYZYIIXZX	(0.0037630714490763735+0j)
IIXZXIIXZX	(0.0037630714490763735+0j)
IIYZXIIXZX	-0.0014537430087563762j
IIYZYIIYZX	-0.0014537430087563762j
IIXZXIIYZX	-0.0014537430087563762j
IYZZYIXZZY	0.0014537430087563762j
IXZZXIXZZY	0.0014537430087563762j
IXZZYIYZZY	0.0014537430087563762j
IYZZYIYZZY	(0.003763071449076373+0j)
IXZZXIYZZY	(0.003763071449076373+0j)
IYZZXIYZZY	-0.0014537430087563762j
IXZZYIXZZX	0.0014537430087563762j
IYZZYIXZZX	(0.003763071449076373+0j)
IXZZXIXZZX	(0.003763071449076373+0j)
IYZZXIXZZX	-0.0014537430087563762j
IYZZYIYZZX	-0.0014537430087563762j
IXZZXIYZZX	-0.0014537430087563762j
YZZZYXZZZY	0.001453743008756376j
XZZZXXZZZY	0.001453743008756376j
XZZZYYZZZY	0.001453743008756376j
YZZZYYZZZY	(0.003763071449076374+0j)
XZZZXYZZZY	(0.003763071449076374+0j)
YZZZXYZZZY	-0.001453743008756376j
XZZZYXZZZX	0.001453743008756376j
YZZZYXZZZX	(0.003763071449076374+0j)
XZZZXXZZZX	(0.003763071449076374+0j)
YZZZXXZZZX	-0.001453743008756376j
YZZZYYZZZX	-0.001453743008756376j
XZZZXYZZZX	-0.001453743008756376j
IIIIIIIIZZ	(0.12409382832796251+0j)
IIIZIIIIIZ	(0.13636099525842693+0j)
IIIIZIIIZI	(0.13636099525842693+0j)
IIIZZIIIII	(0.12409382832796252+0j)
IIIZIIIIXY	-0.004769868967007311j
IIIZIIIIYY	(0.0029197428077812827+0j)
IIIZIIIIXX	(0.0029197428077812827+0j)
IIIZIIIIYX	0.004769868967007311j
IIIXYIIIZI	-0.004769868967007311j
IIIYYIIIZI	(0.0029197428077812827+0j)
IIIXXIIIZI	(0.0029197428077812827+0j)
IIIYXIIIZI	0.004769868967007311j
IIYYIIIXZY	0.0038516081959360194j
IIXXIIIXZY	0.0038516081959360194j
IIXYIIIYZY	0.00018250442717696524j
IIYYIIIYZY	(0.004852600266220568+0j)
IIXXIIIYZY	(0.004852600266220568+0j)
IIYXIIIYZY	-0.00018250442717696524j
IIXYIIIXZX	0.00018250442717696524j
IIYYIIIXZX	(0.004852600266220568+0j)
IIXXIIIXZX	(0.004852600266220568+0j)
IIYXIIIXZX	-0.00018250442717696524j
IIYYIIIYZX	-0.0038516081959360194j
IIXXIIIYZX	-0.0038516081959360194j
IIYZYIIXYI	0.00018250442717696524j
IIXZXIIXYI	0.00018250442717696524j
