IIII	(-0.8525546606987796+0j)
IIIZ	(0.201662667716113+0j)
IZII	(0.20166266771611296+0j)
IIZI	(-0.2183049119109817+0j)
ZIII	(-0.2183049119109817+0j)
IZIZ	(0.1625747651419663+0j)
YYXY	0.015899205157508332j
XXXY	0.015899205157508332j
XYYY	0.015899205157508332j
YYYY	(0.03942382613611454+0j)
XXYY	(0.03942382613611454+0j)
YXYY	-0.015899205157508332j
XYXX	0.015899205157508332j
YYXX	(0.03942382613611454+0j)
XXXX	(0.03942382613611454+0j)
YXXX	-0.015899205157508332j
YYYX	-0.015899205157508332j
XXYX	-0.015899205157508332j
IIZZ	(0.12014434253642693+0j)
ZIIZ	(0.15956816867254148+0j)
IZZI	(0.15956816867254148+0j)
ZZII	(0.12014434253642693+0j)
ZIZI	(0.16742744892879732+0j)
IZZZ	(-0.001049265841855808+0j)
ZZIZ	(-0.001049265841855808+0j)
ZIZZ	(-0.0007447778582358878+0j)
ZZZI	(-0.0007447778582358878+0j)
