IIIIII	(0.0656841569013102+0j)
IIIIIZ	(-0.061456651664215774+0j)
IIZIII	(-0.061456651664215774+0j)
IIIIXY	0.02572785170250797j
IIIIYY	(0.02654038619706712+0j)
IIIIXX	(0.02654038619706712+0j)
IIIIYX	-0.02572785170250797j
IXYIII	0.02572785170250797j
IYYIII	(0.026540386197067112+0j)
IXXIII	(0.026540386197067112+0j)
IYXIII	-0.02572785170250797j
IIIIZI	(-0.28783721921113464+0j)
IZIIII	(-0.28783721921113464+0j)
IIIZII	(-0.3318158889771817+0j)
ZIIIII	(-0.3318158889771817+0j)
IIZIIZ	(0.10491099521090058+0j)
IXYIIZ	-0.007498267605087822j
IYYIIZ	(-0.02914163656114287+0j)
IXXIIZ	(-0.02914163656114287+0j)
IYXIIZ	0.007498267605087822j
IIZIXY	-0.007498267605087823j
IIZIYY	(-0.02914163656114287+0j)
IIZIXX	(-0.02914163656114287+0j)
IIZIYX	0.007498267605087823j
IYYIXY	0.010678734981927415j
IXXIXY	0.010678734981927415j
IXYIYY	0.010678734981927415j
IYYIYY	(0.0246497200061139+0j)
IXXIYY	(0.0246497200061139+0j)
IYXIYY	-0.010678734981927415j
IXYIXX	0.010678734981927415j
IYYIXX	(0.0246497200061139+0j)
IXXIXX	(0.0246497200061139+0j)
IYXIXX	-0.010678734981927415j
IYYIYX	-0.010678734981927415j
IXXIYX	-0.010678734981927415j
YZYXZY	0.005889341210180528j
XZXXZY	0.005889341210180528j
XZYYZY	0.005889341210180528j
YZYYZY	(0.017157233964006348+0j)
XZXYZY	(0.017157233964006348+0j)
YZXYZY	-0.005889341210180528j
XZYXZX	0.005889341210180528j
YZYXZX	(0.017157233964006348+0j)
XZXXZX	(0.017157233964006348+0j)
YZXXZX	-0.005889341210180528j
YZYYZX	-0.005889341210180528j
XZXYZX	-0.005889341210180528j
IIIIZZ	(0.07234987188954443+0j)
IZIIIZ	(0.09699959189565832+0j)
IIZIZI	(0.09699959189565832+0j)
IZZIII	(0.07234987188954443+0j)
IZIIXY	-0.007619235723955249j
IZIIYY	(-0.03168592126953981+0j)
IZIIXX	(-0.03168592126953981+0j)
IZIIYX	0.007619235723955249j
IXYIZI	-0.007619235723955248j
IYYIZI	(-0.03168592126953981+0j)
IXXIZI	(-0.03168592126953981+0j)
IYXIZI	0.007619235723955248j
YYIXZY	0.000705738649227967j
XXIXZY	0.000705738649227967j
XYIYZY	0.005506668231233431j
YYIYZY	(0.0003734320347791025+0j)
XXIYZY	(0.0003734320347791025+0j)
YXIYZY	-0.005506668231233431j
XYIXZX	0.005506668231233431j
YYIXZX	(0.0003734320347791025+0j)
XXIXZX	(0.0003734320347791025+0j)
YXIXZX	-0.005506668231233431j
YYIYZX	-0.000705738649227967j
XXIYZX	-0.000705738649227967j
YZYXYI	0.005506668231233431j
XZXXYI	0.005506668231233431j
XZYYYI	0.000705738649227967j
YZYYYI	(0.0003734320347791025+0j)
XZXYYI	(0.0003734320347791025+0j)
YZXYYI	-0.000705738649227967j
XZYXXI	0.000705738649227967j
YZYXXI	(0.0003734320347791025+0j)
XZXXXI	(0.0003734320347791025+0j)
YZXXXI	-0.000705738649227967j
YZYYXI	-0.005506668231233431j
XZXYXI	-0.005506668231233431j
IIIZIZ	(0.07261003235088426+0j)
ZIIIIZ	(0.08976726631489061+0j)
IIZZII	(0.08976726631489061+0j)
ZIZIII	(0.07261003235088426+0j)
IIIZXY	-0.007705638977735181j
IIIZYY	(-0.01632838187617859+0j)
IIIZXX	(-0.01632838187617859+0j)
IIIZYX	0.007705638977735181j
ZIIIXY	-0.002904709395729718j
ZIIIYY	(-0.016701813910957687+0j)
ZIIIXX	(-0.016701813910957687+0j)
ZIIIYX	0.002904709395729718j
IXYZII	-0.002904709395729718j
IYYZII	(-0.016701813910957687+0j)
IXXZII	(-0.016701813910957687+0j)
IYXZII	0.002904709395729718j
ZXYIII	-0.007705638977735181j
ZYYIII	(-0.01632838187617859+0j)
ZXXIII	(-0.01632838187617859+0j)
ZYXIII	0.007705638977735181j
IZIIZI	(0.09793455648557979+0j)
YYIXYI	0.0005873670587970602j
XXIXYI	0.0005873670587970602j
XYIYYI	0.0005873670587970602j
YYIYYI	(0.007339062033346326+0j)
XXIYYI	(0.007339062033346326+0j)
YXIYYI	-0.0005873670587970602j
XYIXXI	0.0005873670587970602j
YYIXXI	(0.007339062033346326+0j)
XXIXXI	(0.007339062033346326+0j)
YXIXXI	-0.0005873670587970602j
YYIYXI	-0.0005873670587970602j
XXIYXI	-0.0005873670587970602j
IIIZZI	(0.07424175118030081+0j)
ZIIIZI	(0.08158081321364713+0j)
IZIZII	(0.08158081321364713+0j)
ZZIIII	(0.07424175118030081+0j)
ZIIZII	(0.08664519672800154+0j)
IIZIZZ	(0.0011535746364494896+0j)
IZZIIZ	(0.0011535746364494896+0j)
