IIIIIIII	(0.9380772938461818+0j)
IIIIIIIZ	(-0.21873615334946106+0j)
IIIZIIII	(-0.21873615334946106+0j)
IIIIIIXY	0.03633820007597287j
IIIIIIYY	(0.057431333303827714+0j)
IIIIIIXX	(0.057431333303827714+0j)
IIIIIIYX	-0.03633820007597287j
IIXYIIII	0.03633820007597287j
IIYYIIII	(0.057431333303827714+0j)
IIXXIIII	(0.057431333303827714+0j)
IIYXIIII	-0.03633820007597287j
IIIIIIZI	(-0.4380356892874727+0j)
IIZIIIII	(-0.4380356892874727+0j)
IIIIIZII	(-0.4779380330667541+0j)
IZIIIIII	(-0.4779380330667542+0j)
IIIIZIII	(-0.4779380330667544+0j)
ZIIIIIII	(-0.4779380330667544+0j)
IIIZIIIZ	(0.10108535649782707+0j)
IIXYIIIZ	-0.007498267605087824j
IIYYIIIZ	(-0.027085527232591267+0j)
IIXXIIIZ	(-0.027085527232591267+0j)
IIYXIIIZ	0.007498267605087824j
IIIZIIXY	-0.007498267605087821j
IIIZIIYY	(-0.027085527232591267+0j)
IIIZIIXX	(-0.027085527232591267+0j)
IIIZIIYX	0.007498267605087821j
IIYYIIXY	0.010678734981927415j
IIXXIIXY	0.010678734981927415j
IIXYIIYY	0.010678734981927415j
IIYYIIYY	(0.02245580957853391+0j)
IIXXIIYY	(0.02245580957853391+0j)
IIYXIIYY	-0.010678734981927415j
IIXYIIXX	0.010678734981927415j
IIYYIIXX	(0.02245580957853391+0j)
IIXXIIXX	(0.02245580957853391+0j)
IIYXIIXX	-0.010678734981927415j
IIYYIIYX	-0.010678734981927415j
IIXXIIYX	-0.010678734981927415j
IYZYIXZY	0.005889341210180528j
IXZXIXZY	0.005889341210180528j
IXZYIYZY	0.005889341210180528j
IYZYIYZY	(0.016892957507647667+0j)
IXZXIYZY	(0.016892957507647667+0j)
IYZXIYZY	-0.005889341210180528j
IXZYIXZX	0.005889341210180528j
IYZYIXZX	(0.016892957507647667+0j)
IXZXIXZX	(0.016892957507647667+0j)
IYZXIXZX	-0.005889341210180528j
IYZYIYZX	-0.005889341210180528j
IXZXIYZX	-0.005889341210180528j
YZZYXZZY	0.005889341210180529j
XZZXXZZY	0.005889341210180529j
XZZYYZZY	0.005889341210180529j
YZZYYZZY	(0.016892957507647677+0j)
XZZXYZZY	(0.016892957507647677+0j)
YZZXYZZY	-0.005889341210180529j
XZZYXZZX	0.005889341210180529j
YZZYXZZX	(0.016892957507647677+0j)
XZZXXZZX	(0.016892957507647677+0j)
YZZXXZZX	-0.005889341210180529j
YZZYYZZX	-0.005889341210180529j
XZZXYZZX	-0.005889341210180529j
IIIIIIZZ	(0.07042906244578952+0j)
IIZIIIIZ	(0.0928848720243234+0j)
IIIZIIZI	(0.0928848720243234+0j)
IIZZIIII	(0.07042906244578952+0j)
IIZIIIXY	-0.007619235723955248j
IIZIIIYY	(-0.029786342931626367+0j)
IIZIIIXX	(-0.029786342931626367+0j)
IIZIIIYX	0.007619235723955248j
IIXYIIZI	-0.007619235723955249j
IIYYIIZI	(-0.029786342931626367+0j)
IIXXIIZI	(-0.029786342931626367+0j)
IIYXIIZI	0.007619235723955249j
IYYIIXZY	0.000705738649227967j
IXXIIXZY	0.000705738649227967j
IXYIIYZY	0.005506668231233431j
IYYIIYZY	(0.00036823104239682943+0j)
IXXIIYZY	(0.00036823104239682943+0j)
IYXIIYZY	-0.005506668231233431j
IXYIIXZX	0.005506668231233431j
IYYIIXZX	(0.00036823104239682943+0j)
IXXIIXZX	(0.00036823104239682943+0j)
IYXIIXZX	-0.005506668231233431j
IYYIIYZX	-0.000705738649227967j
IXXIIYZX	-0.000705738649227967j
IYZYIXYI	0.005506668231233431j
IXZXIXYI	0.005506668231233431j
IXZYIYYI	0.000705738649227967j
IYZYIYYI	(0.00036823104239682943+0j)
IXZXIYYI	(0.00036823104239682943+0j)
IYZXIYYI	-0.000705738649227967j
IXZYIXXI	0.000705738649227967j
IYZYIXXI	(0.00036823104239682943+0j)
IXZXIXXI	(0.00036823104239682943+0j)
IYZXIXXI	-0.000705738649227967j
IYZYIYXI	-0.005506668231233431j
IXZXIYXI	-0.005506668231233431j
YZYIXZZY	0.0007057386492279659j
XZXIXZZY	0.0007057386492279659j
XZYIYZZY	0.005506668231233433j
YZYIYZZY	(0.00036823104239682336+0j)
XZXIYZZY	(0.00036823104239682336+0j)
YZXIYZZY	-0.005506668231233433j
XZYIXZZX	0.005506668231233433j
YZYIXZZX	(0.00036823104239682336+0j)
XZXIXZZX	(0.00036823104239682336+0j)
YZXIXZZX	-0.005506668231233433j
YZYIYZZX	-0.0007057386492279659j
XZXIYZZX	-0.0007057386492279659j
YZZYXZYI	0.005506668231233433j
XZZXXZYI	0.005506668231233433j
XZZYYZYI	0.0007057386492279659j
YZZYYZYI	(0.00036823104239682336+0j)
