IIII	(0.0640724092395998+0j)
IIIZ	(-0.13569840284451654+0j)
IZII	(0.13569840284451654+0j)
IIIY	0.018022212724772786j
IIZX	(-0.010212004320888524+0j)
IIIX	(0.010212004320888524+0j)
IIZY	-0.018022212724772786j
IYII	-0.018022212724772786j
ZXII	(0.010212004320888517+0j)
IXII	(0.010212004320888517+0j)
ZYII	-0.018022212724772786j
IIZZ	(-0.36044725156201873+0j)
ZZII	(-0.36044725156201873+0j)
IIZI	(0.404165760866726+0j)
ZIII	(-0.404165760866726+0j)
IZIZ	(-0.10057355843675798+0j)
IYIZ	0.0074982676050878196j
ZXIZ	(-0.029228951347053455+0j)
IXIZ	(-0.029228951347053455+0j)
ZYIZ	0.0074982676050878196j
IZIY	0.00749826760508782j
IZZX	(-0.029228951347053455+0j)
IZIX	(0.029228951347053455+0j)
IZZY	-0.00749826760508782j
ZXIY	0.010678734981927411j
IXIY	0.010678734981927411j
IYZX	0.010678734981927411j
ZXZX	(-0.02684363043369389+0j)
IXZX	(-0.02684363043369389+0j)
ZYZX	0.010678734981927411j
IYIX	-0.010678734981927411j
ZXIX	(0.02684363043369389+0j)
IXIX	(0.02684363043369389+0j)
ZYIX	-0.010678734981927411j
ZXZY	-0.010678734981927411j
IXZY	-0.010678734981927411j
XXYX	0.005889341210180525j
YYYX	-0.005889341210180525j
YXXX	-0.005889341210180525j
XXXX	(0.01768901264885852+0j)
YYXX	(-0.01768901264885852+0j)
XYXX	-0.005889341210180525j
YXYY	0.005889341210180525j
XXYY	(-0.01768901264885852+0j)
YYYY	(0.01768901264885852+0j)
XYYY	0.005889341210180525j
XXXY	0.005889341210180525j
YYXY	-0.005889341210180525j
ZZIZ	(0.09288299424511484+0j)
IZZZ	(-0.09288299424511484+0j)
ZZIY	-0.007619235723955247j
ZZZX	(0.031616705064812234+0j)
ZZIX	(-0.031616705064812234+0j)
ZZZY	0.007619235723955247j
IYZZ	0.007619235723955247j
ZXZZ	(-0.031616705064812234+0j)
IXZZ	(-0.031616705064812234+0j)
ZYZZ	0.007619235723955247j
XZYX	-0.0007057386492279667j
XIYX	0.0007057386492279667j
YZXX	0.005506668231233429j
XZXX	(-0.0003553334535960701+0j)
XIXX	(0.0003553334535960701+0j)
YIXX	-0.005506668231233429j
YZYY	-0.005506668231233429j
XZYY	(0.0003553334535960701+0j)
XIYY	(-0.0003553334535960701+0j)
YIYY	0.005506668231233429j
XZXY	-0.0007057386492279667j
XIXY	0.0007057386492279667j
XXYZ	0.005506668231233429j
YYYZ	-0.005506668231233429j
YXXZ	-0.0007057386492279667j
XXXZ	(0.0003553334535960701+0j)
YYXZ	(-0.0003553334535960701+0j)
XYXZ	-0.0007057386492279667j
YXXI	-0.0007057386492279667j
XXXI	(0.0003553334535960701+0j)
YYXI	(-0.0003553334535960701+0j)
XYXI	-0.0007057386492279667j
XXYI	0.005506668231233429j
YYYI	-0.005506668231233429j
ZIIZ	(0.08682388574865166+0j)
IZZI	(0.08682388574865166+0j)
ZIIY	-0.0029047093957297173j
ZIZX	(0.016980069510320762+0j)
ZIIX	(-0.016980069510320762+0j)
ZIZY	0.0029047093957297173j
IYZI	-0.0029047093957297173j
ZXZI	(0.016980069510320762+0j)
IXZI	(0.016980069510320762+0j)
ZYZI	-0.0029047093957297173j
ZZZZ	(0.09404255351705246+0j)
XZYZ	-0.00058736705879706j
XIYZ	0.00058736705879706j
YZXZ	0.00058736705879706j
XZXZ	(-0.007425406912583222+0j)
XIXZ	(0.007425406912583222+0j)
YIXZ	-0.00058736705879706j
YZXI	0.00058736705879706j
XZXI	(-0.007425406912583222+0j)
XIXI	(0.007425406912583222+0j)
YIXI	-0.00058736705879706j
XZYI	-0.00058736705879706j
XIYI	0.00058736705879706j
ZIZZ	(0.07870334040080869+0j)
ZZZI	(-0.07870334040080869+0j)
ZIZI	(-0.08441532550220206+0j)
