IIIIII	(0.9380772938461814+0j)
IIIIIZ	(-0.22059381699230912+0j)
IIZIII	(0.22059381699230912+0j)
IIIIIY	0.036338200075972854j
IIIIZX	(-0.05674840348382522+0j)
IIIIIX	(0.05674840348382522+0j)
IIIIZY	-0.036338200075972854j
IIYIII	-0.036338200075972854j
IZXIII	(0.05674840348382522+0j)
IIXIII	(0.05674840348382522+0j)
IZYIII	-0.036338200075972854j
IIIIZZ	(-0.43957896266447316+0j)
IZZIII	(-0.43957896266447316+0j)
IIIZZI	(-0.47874390689760915+0j)
ZZIIII	(-0.4787439068976092+0j)
IIIZII	(0.47874390689760943+0j)
ZIIIII	(-0.47874390689760943+0j)
IIZIIZ	(-0.10108535649782703+0j)
IIYIIZ	0.007498267605087821j
IZXIIZ	(-0.027085527232591257+0j)
IIXIIZ	(-0.027085527232591257+0j)
IZYIIZ	0.007498267605087821j
IIZIIY	0.0074982676050878196j
IIZIZX	(-0.027085527232591257+0j)
IIZIIX	(0.027085527232591257+0j)
IIZIZY	-0.0074982676050878196j
IZXIIY	0.010678734981927411j
IIXIIY	0.010678734981927411j
IIYIZX	0.010678734981927411j
IZXIZX	(-0.02245580957853391+0j)
IIXIZX	(-0.02245580957853391+0j)
IZYIZX	0.010678734981927411j
IIYIIX	-0.010678734981927411j
IZXIIX	(0.02245580957853391+0j)
IIXIIX	(0.02245580957853391+0j)
IZYIIX	-0.010678734981927411j
IZXIZY	-0.010678734981927411j
IIXIZY	-0.010678734981927411j
ZXXIYX	0.005889341210180525j
IYYIYX	-0.005889341210180525j
IYXZXX	0.005889341210180525j
ZXXZXX	(-0.01689295750764766+0j)
IYYZXX	(0.01689295750764766+0j)
ZXYZXX	0.005889341210180525j
IYXIYY	0.005889341210180525j
ZXXIYY	(-0.01689295750764766+0j)
IYYIYY	(0.01689295750764766+0j)
ZXYIYY	0.005889341210180525j
ZXXZXY	-0.005889341210180525j
IYYZXY	0.005889341210180525j
XXXYXX	0.005889341210180528j
YXYYXX	-0.005889341210180528j
YXXXXX	-0.005889341210180528j
XXXXXX	(0.01689295750764767+0j)
YXYXXX	(-0.01689295750764767+0j)
XXYXXX	-0.005889341210180528j
YXXYXY	0.005889341210180528j
XXXYXY	(-0.01689295750764767+0j)
YXYYXY	(0.01689295750764767+0j)
XXYYXY	0.005889341210180528j
XXXXXY	0.005889341210180528j
YXYXXY	-0.005889341210180528j
IIIIZI	(0.0003975390243569771+0j)
IZZIIZ	(0.09288487202432337+0j)
IIZIZZ	(-0.09288487202432337+0j)
IZIIII	(-0.0003975390243569771+0j)
IZZIIY	-0.007619235723955247j
IZZIZX	(0.029786342931626356+0j)
IZZIIX	(-0.029786342931626356+0j)
IZZIZY	0.007619235723955247j
IIYIZZ	0.007619235723955247j
IZXIZZ	(-0.029786342931626356+0j)
IIXIZZ	(-0.029786342931626356+0j)
IZYIZZ	0.007619235723955247j
ZXZIYX	-0.0007057386492279667j
IXIIYX	0.0007057386492279667j
IYZZXX	-0.005506668231233429j
ZXZZXX	(0.0003682310423968293+0j)
IXIZXX	(-0.0003682310423968293+0j)
ZYIZXX	0.005506668231233429j
IYZIYY	-0.005506668231233429j
ZXZIYY	(0.0003682310423968293+0j)
IXIIYY	(-0.0003682310423968293+0j)
ZYIIYY	0.005506668231233429j
ZXZZXY	0.0007057386492279667j
IXIZXY	-0.0007057386492279667j
ZXXIYZ	0.005506668231233429j
IYYIYZ	-0.005506668231233429j
IYXZXZ	0.0007057386492279667j
ZXXZXZ	(-0.0003682310423968293+0j)
IYYZXZ	(0.0003682310423968293+0j)
ZXYZXZ	0.0007057386492279667j
IYXIXI	-0.0007057386492279667j
ZXXIXI	(0.0003682310423968293+0j)
IYYIXI	(-0.0003682310423968293+0j)
ZXYIXI	-0.0007057386492279667j
ZXXZYI	-0.005506668231233429j
IYYZYI	0.005506668231233429j
XXZYXX	-0.0007057386492279656j
YYIYXX	-0.0007057386492279656j
YXZXXX	0.005506668231233431j
XXZXXX	(-0.00036823104239682325+0j)
YYIXXX	(-0.00036823104239682325+0j)
XYIXXX	-0.005506668231233431j
YXZYXY	-0.005506668231233431j
XXZYXY	(0.00036823104239682325+0j)
YYIYXY	(0.00036823104239682325+0j)
XYIYXY	0.005506668231233431j
XXZXXY	-0.0007057386492279656j
YYIXXY	-0.0007057386492279656j
XXXYXZ	0.005506668231233431j
YXYYXZ	-0.005506668231233431j
YXXXXZ	-0.0007057386492279656j
XXXXXZ	(0.00036823104239682325+0j)
YXYXXZ	(-0.00036823104239682325+0j)
XXYXXZ	-0.0007057386492279656j
YXXYYI	0.0007057386492279656j
XXXYYI	(-0.00036823104239682325+0j)
YXYYYI	(0.00036823104239682325+0j)
XXYYYI	0.0007057386492279656j
XXXXYI	0.005506668231233431j
YXYXYI	-0.005506668231233431j
IIIZZZ	(-0.0010788304621713318+0j)
